id,sid,sx,sy,eid,ex,ey,num,time,max
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,408,47,705
768,395,118.196897,24.48179809,354,118.19802,24.48397351,263,47,856
839,395,118.196897,24.48179809,419,118.1956802,24.47951568,363,47,1008
770,396,118.1907993,24.48244597,382,118.1915082,24.48390213,776,47,856
797,402,118.1925597,24.48081353,404,118.1918886,24.47963026,598,47,1008
808,409,118.194148,24.48017916,402,118.1925597,24.48081353,666,47,1008
836,419,118.1956802,24.47951568,409,118.194148,24.48017916,363,47,1008
337,25,118.1960842,24.51082948,26,118.1946378,24.51064543,3474,48,1512
849,25,118.1960842,24.51082948,49,118.1980189,24.51098186,1538,48,1285
1092,26,118.1946378,24.51064543,503,118.1933791,24.51140735,1930,48,504
961,49,118.1980189,24.51098186,53,118.1979515,24.51209628,1883,48,352
870,50,118.2003003,24.51108935,49,118.1980189,24.51098186,199,48,1285
983,53,118.1979515,24.51209628,54,118.1974916,24.51334934,1431,48,428
72,126,118.1952792,24.50575812,33,118.1957203,24.50713071,6082,48,2016
121,143,118.1943111,24.50197753,142,118.1958249,24.50185552,1511,48,856
141,152,118.1965815,24.5002015,142,118.1958249,24.50185552,706,48,856
149,154,118.194589,24.49968586,143,118.1943111,24.50197753,411,48,2016
155,156,118.1994072,24.50050697,141,118.1993983,24.50203491,852,48,1008
280,199,118.1946976,24.49528905,198,118.1951292,24.49700371,1880,48,1411
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,705,48,856
393,243,118.1993321,24.49272,244,118.198852,24.49087384,364,48,1008
392,244,118.198852,24.49087384,243,118.1993321,24.49272,705,48,1008
489,244,118.198852,24.49087384,278,118.1964804,24.49125042,364,48,1008
434,255,118.1945341,24.49405849,199,118.1946976,24.49528905,1451,48,1713
440,259,118.1945043,24.49211796,255,118.1945341,24.49405849,940,48,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,70,48,856
1057,278,118.1964804,24.49125042,277,118.1947334,24.49136427,364,48,856
494,280,118.1938897,24.48882923,279,118.19413,24.4902268,940,48,1008
